cluster_id,num_stocks,mean_return,median_return,win_rate,sharpe,volatility,skewness,num_samples
31,124,0.0661872,0.0,0.4667316290938034,0.0041536787,15.934598,261.3899,341736
49,628,0.014094228,0.00026893616,0.5008443579284093,0.002148272,6.5607276,634.7501,2016325
48,506,0.014069124,0.0015368462,0.5125488191146823,0.0022217352,6.332494,655.1441,2173073
8,588,0.013690543,0.000831604,0.5053122854822,0.0022185063,6.1710634,672.19183,2288563
20,650,0.013269318,0.0015945435,0.5141548145256024,0.0021842453,6.0750127,682.833,2361458
4,450,0.013225462,0.0022923946,0.5222314957361056,0.0021545037,6.138519,675.8875,2312440
22,637,0.012987643,0.0010010004,0.5073282798454695,0.0020747427,6.259881,665.2807,2214708
26,563,0.012483286,0.001120925,0.5086674901240051,0.0021347273,5.847719,709.37286,2548604
23,624,0.0124582015,0.001101613,0.5082795756251,0.0021236194,5.866494,707.1358,2532195
30,565,0.012407361,0.0015666485,0.5134713139599633,0.0021059923,5.8914557,704.19293,2510594
1,575,0.012167914,0.001213491,0.5099730012252762,0.00211099,5.7640796,719.67224,2623082
7,571,0.011929486,0.0013793707,0.5112761361443915,0.0020777262,5.741606,722.5668,2643370
40,572,0.011764472,0.0018033981,0.5160140003398449,0.0020042742,5.869692,709.5469,2518796
16,526,0.011728708,0.0016592741,0.5144168971292797,0.002057176,5.701363,730.4231,2669992
41,555,0.011620957,0.001783967,0.5162181148712482,0.002085748,5.571602,744.62366,2807108
13,546,0.011594204,0.0014415979,0.5123254605367107,0.0020169702,5.7483273,724.452,2626555
12,564,0.0111649735,0.0019363165,0.5184768178593173,0.0020132663,5.5457015,751.0005,2821698
21,686,0.011099866,0.0013946295,0.5114020117721927,0.0020464177,5.424047,764.8415,2962065
9,669,0.010944292,0.0012869835,0.5103292266766982,0.0020269747,5.3993235,771.22864,2977280
10,618,0.010912045,0.001629591,0.5145227414766215,0.0019949663,5.469789,761.32745,2900933
24,620,0.010734939,0.0016648173,0.5151597478808955,0.001983501,5.412117,769.4515,2963044
37,712,0.010725769,0.0014688373,0.5123695923135858,0.0020385315,5.2615175,788.38995,3148204
5,632,0.0105322795,0.0016348362,0.5144424016354272,0.0019625654,5.366588,776.0434,3013280
46,705,0.01018731,0.0014904737,0.5127035384147904,0.0019548133,5.211398,799.126,3195527
28,195,0.0049219825,0.0,0.4873255767756479,0.03143245,0.15658921,172.1413,679597
45,281,0.004800438,0.0016166568,0.514282206503159,0.008167592,0.58774215,449.81528,1058870
47,467,0.004593769,0.0014001727,0.5119392093194524,0.009180431,0.5003871,517.1688,1493650
19,35,0.004531628,-0.0033585131,0.4455776482687693,0.01961006,0.2310869,40.873688,70008
44,154,0.0043378463,0.0019546747,0.5178672166983993,0.04068578,0.10661824,108.60323,567240
33,126,0.004316374,0.0014841557,0.512363467931649,0.02772938,0.15566067,257.18338,438267
36,460,0.0042933617,0.0015776157,0.5133472342450636,0.009841087,0.43626904,597.16797,1949992
11,205,0.0042833453,9.274483e-05,0.500126417656686,0.029179944,0.14679073,207.46542,660509
38,11,0.0042782365,0.0025337934,0.523526593195975,0.061653104,0.06939207,1.4526323,41740
17,599,0.0042744065,0.0011758804,0.5092386231446263,0.011167465,0.3827553,669.6508,2575492
6,614,0.004225574,0.001724124,0.5149398449891113,0.011537391,0.3662504,696.8681,2825866
18,579,0.0041896156,0.0018714666,0.5171066380342686,0.010997904,0.38094673,680.9253,2568652
15,642,0.0041356473,0.0011425018,0.5090643763705178,0.010663001,0.38785022,646.1289,2577949
42,116,0.003972178,0.0,0.46557769744793165,0.03255048,0.12203131,11.142215,369034
14,703,0.0039500208,0.0016514063,0.5147461093639332,0.010657318,0.3706393,687.491,2764458
34,594,0.00392104,0.0015562773,0.5139930742139042,0.0097430805,0.40244356,643.98083,2303854
0,36,0.0037397482,0.0,0.4959673354168767,0.044537183,0.08396912,4.7599154,59514
43,492,0.0036885892,0.001663804,0.5150351936202171,0.047295645,0.07799004,32.647972,2621782
29,575,0.0035581645,0.0015515089,0.5135870495805286,0.03851485,0.09238423,210.45923,2657273
2,714,0.0035379918,0.0019379854,0.5184066724665936,0.04741504,0.0746175,22.25322,3005785
27,488,0.0034839811,0.0014284849,0.512693619498614,0.04003937,0.08701388,52.920086,1396489
35,392,0.0034571448,0.0017696619,0.5166224862510644,0.049591657,0.06971223,16.77126,2056341
39,575,0.003453856,0.0015455484,0.5143352929870552,0.041234497,0.08376133,46.267456,2018724
32,492,0.0034512563,0.0012995005,0.5105552658872929,0.044274203,0.077951856,8.491304,2307237
3,463,0.0033754022,0.002267599,0.5239804969142534,0.04578431,0.073723994,41.08517,2022039
25,25,0.0031769206,0.0024449825,0.5233231291486072,0.050212055,0.06327008,4.355749,131972
