date,portfolio_value,return,position,cash,daily_return
2025-11-17,99868.65022386107,-0.0013134977613892989,DENN,50000.0,
2025-11-18,100031.35365529472,0.0003135365529471892,DENN,50000.0,0.0016291742310419188
2025-11-19,99950.0,-0.0005,DENN,50000.0,-0.000813281559450485
2025-11-20,100031.35365529472,0.0003135365529471892,DENN,50000.0,0.0008139435247096483
2025-11-21,99950.0,-0.0005,DENN,50000.0,-0.000813281559450485
2025-11-24,100356.76051816202,0.0035676051816201653,DENN,50000.0,0.004069640001620911
2025-11-25,100194.05708672837,0.0019405708672836771,DENN,50000.0,-0.001621250333246893
2025-11-26,100194.05708672837,0.0019405708672836771,DENN,50000.0,0.0
2025-11-28,100275.4068628673,0.0027540686286729762,DENN,50000.0,0.0008119221688818179
2025-12-01,100275.4068628673,0.0027540686286729762,DENN,50000.0,0.0
2025-12-02,100356.76051816202,0.0035676051816201653,DENN,50000.0,0.0008113021710893786
2025-12-03,100275.4068628673,0.0027540686286729762,DENN,50000.0,-0.0008106444934519175
2025-12-04,100194.05708672837,0.0019405708672836771,DENN,50000.0,-0.0008112634860727441
2025-12-05,100194.05708672837,0.0019405708672836771,DENN,50000.0,0.0
2025-12-08,100194.05708672837,0.0019405708672836771,DENN,50000.0,0.0
